ID,Address,Sale Price,Sale Date,Type,Beds,Baths,Parking,Land / Size,Air Conditioning,Outdoor Area,LINK
PEN012,"13/72-76 Union Road, Penrith","$585,000",2026-07-27,Unit,2,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-unit-nsw-penrith-151847396
PEN013,"3 Hornseywood Avenue, Penrith","$1,100,000",2026-07-24,House,3,—,2,602 m²,Yes,Yes,https://www.realestate.com.au/sold/property-house-nsw-penrith-151448944
PEN014,"8/175 Stafford Street, Penrith","$950,000",2026-07-24,Townhouse,3,3,3,—,Yes,Yes,https://www.realestate.com.au/sold/property-townhouse-nsw-penrith-150921004
PEN015,"7/209 Derby Street, Penrith","$502,500",2026-07-24,Unit,2,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-unit-nsw-penrith-151184564
PEN016,"3A Rodley Avenue, Penrith","$995,000",2026-07-23,Duplex/semi-detached,3,2,1,—,,Yes,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-penrith-151634012
PEN017,"172 Derby Street, Penrith","$1,670,000",2026-07-22,Residential land,—,—,—,"1,271 m²",,,https://www.realestate.com.au/sold/property-residential+land-nsw-penrith-204550596
PEN018,"5 & 5A Holt Court, Penrith","$1,280,000",2026-07-22,House,5,2,2,807 m²,,Yes,https://www.realestate.com.au/sold/property-house-nsw-penrith-150914404
PEN019,"53/42-44 Lethbridge Street, Penrith","$605,000",2026-07-22,Apartment,2,2,2,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151338804
PEN020,"107/60 Lord Sheffield Circuit, Penrith","$550,000",2026-07-21,Apartment,1,1,1,63 m²*,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151515936
PEN021,"513/60 Lord Sheffield Circuit, Penrith","$549,000",2026-07-21,Apartment,1,1,1,61 m²*,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151070976
PEN022,"301/101D Lord Sheffield Circuit, Penrith","$605,000",2026-07-20,Unit,2,2,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-unit-nsw-penrith-151441760
PEN023,"3/17-19 Haynes Street, Penrith","$449,000",2026-07-17,Apartment,1,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151583604
PEN024,"6/171-173 Derby Street, Penrith","$470,000",2026-07-14,Apartment,2,1,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151652028
PEN025,"7/53-55 King Street, Penrith","$490,000",2026-07-12,Apartment,2,1,1,81 m²*,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151643120
PEN026,"G05/10B Premiership Close, Penrith","$680,000",2026-07-10,Apartment,1,1,1,100 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151473676
PEN027,"510/10 Aviators Way, Penrith","$628,000",2026-07-10,Apartment,2,2,1,99 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151454112
PEN028,"36 Pelsart Avenue, Penrith","$1,050,000",2026-07-08,House,3,1,1,632.6 m²,Yes,Yes,https://www.realestate.com.au/sold/property-house-nsw-penrith-151376684
PEN029,"C716/1-39 Lord Sheffield Circuit, Penrith","$647,500",2026-07-06,Apartment,2,2,1,87 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-150815232
PEN030,"307/81B Lord Sheffield Circuit, Penrith","$640,000",2026-07-06,Apartment,2,2,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151484988
PEN031,"26/79-81 Union Road, Penrith","$675,000",2026-07-03,Apartment,2,2,2,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151368520
PEN032,"D27/10 Ransley Street, Penrith","$670,000",2026-07-03,Apartment,2,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151258296
PEN033,"9/144-148 High Street, Penrith","$610,000",2026-07-03,Apartment,2,2,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151263740
PEN034,"13/1-2 The Crescent, Penrith","$420,000",2026-07-03,Unit,2,1,1,72 m²,Yes,Yes,https://www.realestate.com.au/sold/property-unit-nsw-penrith-151583196
PEN035,"704/8 Aviators Way, Penrith","$690,000",2026-07-01,Apartment,2,2,1,82 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151131104
PAR001,"11/22-24 Tennyson Street, Parramatta","$650,000",2026-08-17,Apartment,2,2,1,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150736304
PAR002,"53/20 Victoria Road, Parramatta","$640,000",2026-08-13,Apartment,2,2,1,122 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151449756
PAR003,"2/1-7 Bobart Street, Parramatta","$780,000",2026-08-12,Townhouse,2,1,1,251 m²,,Yes,https://www.realestate.com.au/sold/property-townhouse-nsw-parramatta-151891468
PAR004,"3637/180 George Street, Parramatta","$623,000",2026-08-12,Apartment,1,1,—,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151815704
PAR005,"5/5 Thomas Street, Parramatta","$530,000",2026-08-12,Unit,2,1,1,81 m²,,Yes,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151912828
PAR006,"3/11 O'Reilly Street, Parramatta","$657,000",2026-08-11,Unit,2,2,1,145 m²,Yes,Yes,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151435964
PAR007,"1001/1A Morton Street, Parramatta","$635,000",2026-08-07,Apartment,2,—,2,127 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150227964
PAR008,"4/39 Great Western Highway, Parramatta","$560,000",2026-08-07,Unit,2,1,1,—,,Yes,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151700640
PAR009,"5/13 Queens Avenue, Parramatta","$435,000",2026-08-07,Apartment,1,1,1,—,Yes,,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151516112
PAR010,"902/22 Charles Street, Parramatta","$400,000",2026-08-07,Unit,1,1,1,81 m²,,,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151414292
PAR011,"404/23 Hassall Street, Parramatta","$680,000",2026-08-04,Apartment,2,2,1,124 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151176520
PAR012,"2/15-19 Early Street, Parramatta","$588,000",2026-08-04,Apartment,2,1,1,150 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151782036
PAR013,"214/354-366 Church Street, Parramatta","$497,000",2026-08-03,Apartment,1,1,—,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150811748
PAR014,"3001/11 Hassall St, Parramatta","$740,000",2026-08-02,Apartment,2,2,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151392796
PAR015,"1/6 Sorrell St, Parramatta","$805,000",2026-07-31,Apartment,3,2,2,157 m²,Yes,,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151397752
PAR016,"12/37 Fennell Street, Parramatta","$695,000",2026-07-31,Apartment,3,1,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150682068
PAR017,"D201/1 Broughton Street, Parramatta","$530,000",2026-07-31,Apartment,1,1,1,79 m²,,,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151786980
PAR018,"16/18 Thomas St, Parramatta","$626,000",2026-07-30,Apartment,2,1,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151837448
PAR019,"4/13 Henry Street, Parramatta","$580,000",2026-07-30,Apartment,2,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151631376
PAR020,"1601/45 Macquarie Street, Parramatta","$572,000",2026-07-29,Apartment,1,—,1,80 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150402052
PAR021,"907/29 Hunter Street, Parramatta","$555,000",2026-07-29,Apartment,2,2,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151104612
PAR022,"34/105-107 Church Street, Parramatta","$625,000",2026-07-28,Apartment,2,2,1,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151764748
PAR023,"3/22-24 Thomas Street, Parramatta","$667,000",2026-07-27,Apartment,2,1,2,122 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151713748
PAR024,"1330K/2 Morton Street, Parramatta","$740,000",2026-07-25,Apartment,2,2,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151669176
PAR025,"15/7-11 Elizabeth Street, Parramatta","$650,000",2026-07-25,Apartment,2,1,1,112 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151643160
PAR026,"28/24 Campbell Street, Parramatta","$500,000",2026-07-25,Apartment,2,2,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151688016
PAR027,"27/9-11 Cowper Street, Parramatta","$800,000",2026-07-23,Apartment,3,2,2,149 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151730968
PAR028,"2436/180 George Street, Parramatta","$880,000",2026-07-22,Apartment,2,2,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151338896
PAR029,"1702/1A Morton Street, Parramatta","$667,000",2026-07-22,Apartment,2,2,1,115 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151592424
PAR030,"10/15-17 Queens Avenue, Parramatta","$615,000",2026-07-22,Apartment,2,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151646944
PAR031,"12/128 Macquarie Street, Parramatta","$532,000",2026-07-22,Apartment,2,1,2,136 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151324380
PAR032,"6/89 Great Western Highway, Parramatta","$460,000",2026-07-22,Apartment,2,1,1,—,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150895472
PAR033,"44/20-24 Sorrell Street, Parramatta","$825,000",2026-07-21,Apartment,3,2,1,192 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150907148
PAR034,"42/21 Sorrell Street, Parramatta","$665,000",2026-07-21,Apartment,3,2,1,—,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151592008
PAR035,"80/68 MacArthur Street, Parramatta","$583,000",2026-07-21,Apartment,2,1,2,111 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150904076
SUR001,"411/82-92 Cooper Street, Surry Hills","$675,000",2026-08-14,Apartment,1,1,—,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151793348
SUR002,"107/117 Kippax Street, Surry Hills","$750,000",2026-08-12,Studio,1,1,—,48 m²,Yes,,https://www.realestate.com.au/sold/property-studio-nsw-surry+hills-151874736
SUR003,"8/70 Marlborough Street, Surry Hills","$1,650,000",2026-08-11,Apartment,3,2,1,136 m²,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151769928
SUR004,"61/2 Goodlet Street, Surry Hills","$622,500",2026-08-06,Apartment,1,1,—,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151388732
SUR005,"57/1-7 Pelican Street, Surry Hills","$710,000",2026-08-04,Apartment,1,1,—,60 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151520040
SUR006,"11 Belvoir Street, Surry Hills","$1,500,000",2026-07-30,House,3,1,—,—,,,https://www.realestate.com.au/sold/property-house-nsw-surry+hills-151589444
SUR007,"707/242 Elizabeth Street, Surry Hills","$621,050",2026-07-29,Unit,1,1,—,—,Yes,Yes,https://www.realestate.com.au/sold/property-unit-nsw-surry+hills-151266808
SUR008,"524 Crown Street, Surry Hills","$3,530,000",2026-07-25,Terrace,4,3,—,—,Yes,Yes,https://www.realestate.com.au/sold/property-terrace-nsw-surry+hills-151474844
SUR009,"206 Devonshire Street, Surry Hills","$1,600,000",2026-07-25,House,3,1,3,123 m²,Yes,Yes,https://www.realestate.com.au/sold/property-house-nsw-surry+hills-151642104
SUR010,"71/679-695 Bourke Street, Surry Hills","$780,000",2026-07-24,Apartment,1,1,1,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151675696
SUR011,"4/329-333 Crown Street, Surry Hills","$1,300,000",2026-07-23,Apartment,2,1,1,104 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151733496
SUR012,"30/38 Chalmers Street, Surry Hills","$1,055,000",2026-07-20,Apartment,2,2,—,97 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151447204
SUR013,"310/174-182 Goulburn Street, Surry Hills","$885,000",2026-07-17,Apartment,1,1,1,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151492888
SUR014,"17/6 Poplar Street, Surry Hills","$740,000",2026-07-17,Apartment,1,1,—,73 m²,Yes,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151607552
SUR015,"60/2 Goodlet Street, Surry Hills","$835,000",2026-07-15,Apartment,2,1,1,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151517536
SUR016,"61/5-13 Hutchinson Street, Surry Hills","$1,710,000",2026-07-01,Apartment,2,2,1,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151258568
SUR017,"305/8 Cooper Street, Surry Hills","$775,000",2026-07-01,Apartment,1,1,—,63 m²,Yes,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151582780
SUR018,"53 Marshall Street, Surry Hills","$2,310,000",2026-06-27,House,2,1,—,68 m²,,,https://www.realestate.com.au/sold/property-house-nsw-surry+hills-151357588
SUR019,"49 Waterloo Street, Surry Hills","$3,250,000",2026-06-26,House,4,2,6,196.7 m²,Yes,Yes,https://www.realestate.com.au/sold/property-house-nsw-surry+hills-151340068
SUR020,"1514/20 Pelican Street, Surry Hills","$2,965,000",2026-06-26,Apartment,3,2,2,143 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151283500
SUR021,"31/9-41 Rainford Street, Surry Hills","$1,310,000",2026-06-26,Apartment,2,2,1,101 m²,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151513476
SUR022,"105/425 Bourke Street, Surry Hills","$850,000",2026-06-24,Apartment,1,1,—,62 m²,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151557680
SUR023,"905/133 Goulburn Street, Surry Hills","$1,400,000",2026-06-22,Apartment,2,1,1,—,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151323116
SUR024,"3/99-115 Flinders Street, Surry Hills","$1,255,000",2026-06-18,Apartment,2,1,1,110 m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151318084
SUR025,"26/360 Bourke Street, Surry Hills","$805,000",2026-06-17,Apartment,1,1,—,54 m²,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151189272
SUR026,"5 Rainford Street, Surry Hills","$2,725,000",2026-06-13,House,3,1,—,—,,Yes,https://www.realestate.com.au/sold/property-house-nsw-surry+hills-151278364
SUR027,"5 Samuel Street, Surry Hills","$1,572,000",2026-06-12,House,2,1,—,—,,,https://www.realestate.com.au/sold/property-house-nsw-surry+hills-151307000
SUR028,"7/5-13 Hutchinson Street, Surry Hills","$1,325,000",2026-06-12,Apartment,2,1,1,104m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151180368
SUR029,"17/47-49 Buckingham Street, Surry Hills","$920,000",2026-06-12,Apartment,1,1,—,65m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151410164
SUR030,"5.39/517 Elizabeth Street, Surry Hills","$800,000",2026-06-11,Apartment,1,1,—,49m²,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151413240
SUR031,"42/56-60 Foster Street, Surry Hills","$730,000",2026-06-06,Apartment,1,1,—,48m²,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-150997768
SUR032,"4/3 Goulburn Lane, Surry Hills","$810,000",2026-06-05,Apartment,1,1,—,59m²,,,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151240992
SUR033,"129 Goodlet Street, Surry Hills","$2,140,000",2026-06-03,House,3,2,—,75m²,,Yes,https://www.realestate.com.au/sold/property-house-nsw-surry+hills-151258896
SUR034,"7/144-154 Commonwealth Street, Surry Hills","$2,100,000",2026-06-02,Apartment,3,2,2,135m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151120852
SUR035,"7/40-48 Ann Street, Surry Hills","$950,000",2026-06-02,Apartment,2,1,1,62m²,,Yes,https://www.realestate.com.au/sold/property-apartment-nsw-surry+hills-151277680
